video_path,label,method
C:\Users\susov\Downloads\archive\FaceForensics++_C23\original\252.mp4,0,original
C:\Users\susov\Downloads\archive\FaceForensics++_C23\original\634.mp4,0,original
C:\Users\susov\Downloads\archive\FaceForensics++_C23\original\427.mp4,0,original
C:\Users\susov\Downloads\archive\FaceForensics++_C23\original\534.mp4,0,original
C:\Users\susov\Downloads\archive\FaceForensics++_C23\NeuralTextures\125_038.mp4,1,NeuralTextures
C:\Users\susov\Downloads\archive\FaceForensics++_C23\FaceSwap\055_147.mp4,1,FaceSwap
C:\Users\susov\Downloads\archive\FaceForensics++_C23\original\810.mp4,0,original
C:\Users\susov\Downloads\archive\FaceForensics++_C23\DeepFakeDetection\01_02__talking_against_wall__YVGY8LOK.mp4,1,DeepFakeDetection
C:\Users\susov\Downloads\archive\FaceForensics++_C23\DeepFakeDetection\01_11__secret_conversation__4OJNJLOO.mp4,1,DeepFakeDetection
C:\Users\susov\Downloads\archive\FaceForensics++_C23\original\208.mp4,0,original
C:\Users\susov\Downloads\archive\FaceForensics++_C23\DeepFakeDetection\02_18__outside_talking_pan_laughing__OXMEEFUQ.mp4,1,DeepFakeDetection
C:\Users\susov\Downloads\archive\FaceForensics++_C23\original\323.mp4,0,original
C:\Users\susov\Downloads\archive\FaceForensics++_C23\original\278.mp4,0,original
C:\Users\susov\Downloads\archive\FaceForensics++_C23\original\776.mp4,0,original
C:\Users\susov\Downloads\archive\FaceForensics++_C23\Face2Face\095_053.mp4,1,Face2Face
C:\Users\susov\Downloads\archive\FaceForensics++_C23\Face2Face\163_031.mp4,1,Face2Face
C:\Users\susov\Downloads\archive\FaceForensics++_C23\original\254.mp4,0,original
C:\Users\susov\Downloads\archive\FaceForensics++_C23\FaceSwap\017_803.mp4,1,FaceSwap
C:\Users\susov\Downloads\archive\FaceForensics++_C23\original\439.mp4,0,original
C:\Users\susov\Downloads\archive\FaceForensics++_C23\original\384.mp4,0,original
C:\Users\susov\Downloads\archive\FaceForensics++_C23\original\878.mp4,0,original
C:\Users\susov\Downloads\archive\FaceForensics++_C23\original\314.mp4,0,original
C:\Users\susov\Downloads\archive\FaceForensics++_C23\original\407.mp4,0,original
C:\Users\susov\Downloads\archive\FaceForensics++_C23\original\097.mp4,0,original
C:\Users\susov\Downloads\archive\FaceForensics++_C23\FaceSwap\137_165.mp4,1,FaceSwap
C:\Users\susov\Downloads\archive\FaceForensics++_C23\Face2Face\157_245.mp4,1,Face2Face
C:\Users\susov\Downloads\archive\FaceForensics++_C23\FaceSwap\147_055.mp4,1,FaceSwap
C:\Users\susov\Downloads\archive\FaceForensics++_C23\original\775.mp4,0,original
C:\Users\susov\Downloads\archive\FaceForensics++_C23\original\850.mp4,0,original
C:\Users\susov\Downloads\archive\FaceForensics++_C23\original\872.mp4,0,original
C:\Users\susov\Downloads\archive\FaceForensics++_C23\DeepFakeDetection\02_18__exit_phone_room__OXMEEFUQ.mp4,1,DeepFakeDetection
C:\Users\susov\Downloads\archive\FaceForensics++_C23\original\593.mp4,0,original
C:\Users\susov\Downloads\archive\FaceForensics++_C23\Deepfakes\097_033.mp4,1,Deepfakes
C:\Users\susov\Downloads\archive\FaceForensics++_C23\Deepfakes\055_147.mp4,1,Deepfakes
C:\Users\susov\Downloads\archive\FaceForensics++_C23\DeepFakeDetection\01_26__outside_talking_pan_laughing__ZMEJ535O.mp4,1,DeepFakeDetection
C:\Users\susov\Downloads\archive\FaceForensics++_C23\original\180.mp4,0,original
C:\Users\susov\Downloads\archive\FaceForensics++_C23\Face2Face\040_997.mp4,1,Face2Face
C:\Users\susov\Downloads\archive\FaceForensics++_C23\original\086.mp4,0,original
C:\Users\susov\Downloads\archive\FaceForensics++_C23\original\649.mp4,0,original
C:\Users\susov\Downloads\archive\FaceForensics++_C23\original\015.mp4,0,original
C:\Users\susov\Downloads\archive\FaceForensics++_C23\original\552.mp4,0,original
C:\Users\susov\Downloads\archive\FaceForensics++_C23\original\247.mp4,0,original
C:\Users\susov\Downloads\archive\FaceForensics++_C23\original\268.mp4,0,original
C:\Users\susov\Downloads\archive\FaceForensics++_C23\original\696.mp4,0,original
C:\Users\susov\Downloads\archive\FaceForensics++_C23\original\340.mp4,0,original
C:\Users\susov\Downloads\archive\FaceForensics++_C23\FaceShifter\095_053.mp4,1,FaceShifter
C:\Users\susov\Downloads\archive\FaceForensics++_C23\NeuralTextures\036_035.mp4,1,NeuralTextures
C:\Users\susov\Downloads\archive\FaceForensics++_C23\NeuralTextures\134_192.mp4,1,NeuralTextures
C:\Users\susov\Downloads\archive\FaceForensics++_C23\NeuralTextures\135_880.mp4,1,NeuralTextures
C:\Users\susov\Downloads\archive\FaceForensics++_C23\original\027.mp4,0,original
C:\Users\susov\Downloads\archive\FaceForensics++_C23\original\904.mp4,0,original
C:\Users\susov\Downloads\archive\FaceForensics++_C23\original\854.mp4,0,original
C:\Users\susov\Downloads\archive\FaceForensics++_C23\original\103.mp4,0,original
C:\Users\susov\Downloads\archive\FaceForensics++_C23\original\730.mp4,0,original
C:\Users\susov\Downloads\archive\FaceForensics++_C23\NeuralTextures\040_997.mp4,1,NeuralTextures
C:\Users\susov\Downloads\archive\FaceForensics++_C23\FaceShifter\124_085.mp4,1,FaceShifter
C:\Users\susov\Downloads\archive\FaceForensics++_C23\original\836.mp4,0,original
C:\Users\susov\Downloads\archive\FaceForensics++_C23\Deepfakes\074_825.mp4,1,Deepfakes
C:\Users\susov\Downloads\archive\FaceForensics++_C23\original\343.mp4,0,original
C:\Users\susov\Downloads\archive\FaceForensics++_C23\FaceSwap\164_216.mp4,1,FaceSwap
C:\Users\susov\Downloads\archive\FaceForensics++_C23\original\860.mp4,0,original
C:\Users\susov\Downloads\archive\FaceForensics++_C23\original\950.mp4,0,original
C:\Users\susov\Downloads\archive\FaceForensics++_C23\FaceShifter\058_039.mp4,1,FaceShifter
C:\Users\susov\Downloads\archive\FaceForensics++_C23\original\708.mp4,0,original
C:\Users\susov\Downloads\archive\FaceForensics++_C23\NeuralTextures\082_103.mp4,1,NeuralTextures
C:\Users\susov\Downloads\archive\FaceForensics++_C23\original\482.mp4,0,original
C:\Users\susov\Downloads\archive\FaceForensics++_C23\FaceShifter\116_091.mp4,1,FaceShifter
C:\Users\susov\Downloads\archive\FaceForensics++_C23\DeepFakeDetection\02_15__secret_conversation__MZWH8ATN.mp4,1,DeepFakeDetection
C:\Users\susov\Downloads\archive\FaceForensics++_C23\Deepfakes\065_089.mp4,1,Deepfakes
C:\Users\susov\Downloads\archive\FaceForensics++_C23\original\382.mp4,0,original
C:\Users\susov\Downloads\archive\FaceForensics++_C23\original\089.mp4,0,original
C:\Users\susov\Downloads\archive\FaceForensics++_C23\original\165.mp4,0,original
C:\Users\susov\Downloads\archive\FaceForensics++_C23\original\448.mp4,0,original
C:\Users\susov\Downloads\archive\FaceForensics++_C23\original\061.mp4,0,original
C:\Users\susov\Downloads\archive\FaceForensics++_C23\original\412.mp4,0,original
C:\Users\susov\Downloads\archive\FaceForensics++_C23\Deepfakes\138_142.mp4,1,Deepfakes
C:\Users\susov\Downloads\archive\FaceForensics++_C23\original\245.mp4,0,original
C:\Users\susov\Downloads\archive\FaceForensics++_C23\original\548.mp4,0,original
C:\Users\susov\Downloads\archive\FaceForensics++_C23\Deepfakes\027_009.mp4,1,Deepfakes
C:\Users\susov\Downloads\archive\FaceForensics++_C23\FaceSwap\160_928.mp4,1,FaceSwap
C:\Users\susov\Downloads\archive\FaceForensics++_C23\original\201.mp4,0,original
C:\Users\susov\Downloads\archive\FaceForensics++_C23\original\815.mp4,0,original
C:\Users\susov\Downloads\archive\FaceForensics++_C23\Deepfakes\116_091.mp4,1,Deepfakes
C:\Users\susov\Downloads\archive\FaceForensics++_C23\Deepfakes\009_027.mp4,1,Deepfakes
C:\Users\susov\Downloads\archive\FaceForensics++_C23\FaceShifter\105_180.mp4,1,FaceShifter
C:\Users\susov\Downloads\archive\FaceForensics++_C23\Face2Face\098_092.mp4,1,Face2Face
C:\Users\susov\Downloads\archive\FaceForensics++_C23\NeuralTextures\018_019.mp4,1,NeuralTextures
C:\Users\susov\Downloads\archive\FaceForensics++_C23\original\177.mp4,0,original
C:\Users\susov\Downloads\archive\FaceForensics++_C23\original\858.mp4,0,original
C:\Users\susov\Downloads\archive\FaceForensics++_C23\original\469.mp4,0,original
C:\Users\susov\Downloads\archive\FaceForensics++_C23\Face2Face\150_153.mp4,1,Face2Face
C:\Users\susov\Downloads\archive\FaceForensics++_C23\DeepFakeDetection\02_15__walking_and_outside_surprised__I8G2LWD1.mp4,1,DeepFakeDetection
C:\Users\susov\Downloads\archive\FaceForensics++_C23\original\116.mp4,0,original
C:\Users\susov\Downloads\archive\FaceForensics++_C23\FaceShifter\008_990.mp4,1,FaceShifter
C:\Users\susov\Downloads\archive\FaceForensics++_C23\FaceSwap\133_148.mp4,1,FaceSwap
C:\Users\susov\Downloads\archive\FaceForensics++_C23\original\695.mp4,0,original
C:\Users\susov\Downloads\archive\FaceForensics++_C23\Face2Face\155_576.mp4,1,Face2Face
C:\Users\susov\Downloads\archive\FaceForensics++_C23\original\062.mp4,0,original
C:\Users\susov\Downloads\archive\FaceForensics++_C23\Face2Face\067_025.mp4,1,Face2Face
C:\Users\susov\Downloads\archive\FaceForensics++_C23\original\656.mp4,0,original
C:\Users\susov\Downloads\archive\FaceForensics++_C23\Face2Face\011_805.mp4,1,Face2Face
C:\Users\susov\Downloads\archive\FaceForensics++_C23\NeuralTextures\166_167.mp4,1,NeuralTextures
C:\Users\susov\Downloads\archive\FaceForensics++_C23\FaceSwap\027_009.mp4,1,FaceSwap
C:\Users\susov\Downloads\archive\FaceForensics++_C23\Deepfakes\144_122.mp4,1,Deepfakes
C:\Users\susov\Downloads\archive\FaceForensics++_C23\original\213.mp4,0,original
C:\Users\susov\Downloads\archive\FaceForensics++_C23\original\023.mp4,0,original
C:\Users\susov\Downloads\archive\FaceForensics++_C23\FaceShifter\114_102.mp4,1,FaceShifter
C:\Users\susov\Downloads\archive\FaceForensics++_C23\original\040.mp4,0,original
C:\Users\susov\Downloads\archive\FaceForensics++_C23\Face2Face\080_061.mp4,1,Face2Face
C:\Users\susov\Downloads\archive\FaceForensics++_C23\original\570.mp4,0,original
C:\Users\susov\Downloads\archive\FaceForensics++_C23\Face2Face\126_104.mp4,1,Face2Face
C:\Users\susov\Downloads\archive\FaceForensics++_C23\original\211.mp4,0,original
C:\Users\susov\Downloads\archive\FaceForensics++_C23\original\449.mp4,0,original
C:\Users\susov\Downloads\archive\FaceForensics++_C23\original\483.mp4,0,original
C:\Users\susov\Downloads\archive\FaceForensics++_C23\FaceSwap\141_161.mp4,1,FaceSwap
C:\Users\susov\Downloads\archive\FaceForensics++_C23\DeepFakeDetection\03_04__outside_talking_pan_laughing__T04P6ELC.mp4,1,DeepFakeDetection
C:\Users\susov\Downloads\archive\FaceForensics++_C23\NeuralTextures\137_165.mp4,1,NeuralTextures
C:\Users\susov\Downloads\archive\FaceForensics++_C23\Deepfakes\162_330.mp4,1,Deepfakes
C:\Users\susov\Downloads\archive\FaceForensics++_C23\FaceSwap\003_000.mp4,1,FaceSwap
C:\Users\susov\Downloads\archive\FaceForensics++_C23\original\104.mp4,0,original
C:\Users\susov\Downloads\archive\FaceForensics++_C23\FaceShifter\163_031.mp4,1,FaceShifter
C:\Users\susov\Downloads\archive\FaceForensics++_C23\FaceShifter\157_245.mp4,1,FaceShifter
C:\Users\susov\Downloads\archive\FaceForensics++_C23\original\793.mp4,0,original
C:\Users\susov\Downloads\archive\FaceForensics++_C23\DeepFakeDetection\03_01__podium_speech_happy__JZUXXFRB.mp4,1,DeepFakeDetection
C:\Users\susov\Downloads\archive\FaceForensics++_C23\FaceShifter\135_880.mp4,1,FaceShifter
C:\Users\susov\Downloads\archive\FaceForensics++_C23\original\204.mp4,0,original
C:\Users\susov\Downloads\archive\FaceForensics++_C23\original\832.mp4,0,original
C:\Users\susov\Downloads\archive\FaceForensics++_C23\FaceShifter\128_896.mp4,1,FaceShifter
C:\Users\susov\Downloads\archive\FaceForensics++_C23\original\463.mp4,0,original
C:\Users\susov\Downloads\archive\FaceForensics++_C23\original\626.mp4,0,original
C:\Users\susov\Downloads\archive\FaceForensics++_C23\original\665.mp4,0,original
C:\Users\susov\Downloads\archive\FaceForensics++_C23\original\225.mp4,0,original
C:\Users\susov\Downloads\archive\FaceForensics++_C23\FaceSwap\013_883.mp4,1,FaceSwap
C:\Users\susov\Downloads\archive\FaceForensics++_C23\original\335.mp4,0,original
C:\Users\susov\Downloads\archive\FaceForensics++_C23\NeuralTextures\050_059.mp4,1,NeuralTextures
C:\Users\susov\Downloads\archive\FaceForensics++_C23\original\297.mp4,0,original
C:\Users\susov\Downloads\archive\FaceForensics++_C23\DeepFakeDetection\02_01__walking_down_indoor_hall_disgust__YVGY8LOK.mp4,1,DeepFakeDetection
C:\Users\susov\Downloads\archive\FaceForensics++_C23\original\364.mp4,0,original
C:\Users\susov\Downloads\archive\FaceForensics++_C23\DeepFakeDetection\03_14__podium_speech_happy__Q9NSXM88.mp4,1,DeepFakeDetection
C:\Users\susov\Downloads\archive\FaceForensics++_C23\original\966.mp4,0,original
C:\Users\susov\Downloads\archive\FaceForensics++_C23\original\301.mp4,0,original
C:\Users\susov\Downloads\archive\FaceForensics++_C23\original\588.mp4,0,original
C:\Users\susov\Downloads\archive\FaceForensics++_C23\Face2Face\045_889.mp4,1,Face2Face
C:\Users\susov\Downloads\archive\FaceForensics++_C23\original\557.mp4,0,original
C:\Users\susov\Downloads\archive\FaceForensics++_C23\original\802.mp4,0,original
C:\Users\susov\Downloads\archive\FaceForensics++_C23\original\933.mp4,0,original
C:\Users\susov\Downloads\archive\FaceForensics++_C23\original\507.mp4,0,original
C:\Users\susov\Downloads\archive\FaceForensics++_C23\NeuralTextures\123_119.mp4,1,NeuralTextures
C:\Users\susov\Downloads\archive\FaceForensics++_C23\DeepFakeDetection\01_27__hugging_happy__ZYCZ30C0.mp4,1,DeepFakeDetection
C:\Users\susov\Downloads\archive\FaceForensics++_C23\original\138.mp4,0,original
C:\Users\susov\Downloads\archive\FaceForensics++_C23\Deepfakes\007_132.mp4,1,Deepfakes
C:\Users\susov\Downloads\archive\FaceForensics++_C23\Face2Face\070_057.mp4,1,Face2Face
C:\Users\susov\Downloads\archive\FaceForensics++_C23\Deepfakes\124_085.mp4,1,Deepfakes
C:\Users\susov\Downloads\archive\FaceForensics++_C23\original\429.mp4,0,original
C:\Users\susov\Downloads\archive\FaceForensics++_C23\original\999.mp4,0,original
C:\Users\susov\Downloads\archive\FaceForensics++_C23\original\712.mp4,0,original
C:\Users\susov\Downloads\archive\FaceForensics++_C23\original\385.mp4,0,original
C:\Users\susov\Downloads\archive\FaceForensics++_C23\NeuralTextures\081_087.mp4,1,NeuralTextures
C:\Users\susov\Downloads\archive\FaceForensics++_C23\original\877.mp4,0,original
C:\Users\susov\Downloads\archive\FaceForensics++_C23\NeuralTextures\131_518.mp4,1,NeuralTextures
C:\Users\susov\Downloads\archive\FaceForensics++_C23\original\627.mp4,0,original
C:\Users\susov\Downloads\archive\FaceForensics++_C23\FaceShifter\120_118.mp4,1,FaceShifter
C:\Users\susov\Downloads\archive\FaceForensics++_C23\FaceShifter\031_163.mp4,1,FaceShifter
C:\Users\susov\Downloads\archive\FaceForensics++_C23\original\113.mp4,0,original
C:\Users\susov\Downloads\archive\FaceForensics++_C23\original\932.mp4,0,original
C:\Users\susov\Downloads\archive\FaceForensics++_C23\Face2Face\097_033.mp4,1,Face2Face
C:\Users\susov\Downloads\archive\FaceForensics++_C23\FaceSwap\161_141.mp4,1,FaceSwap
C:\Users\susov\Downloads\archive\FaceForensics++_C23\original\070.mp4,0,original
C:\Users\susov\Downloads\archive\FaceForensics++_C23\Face2Face\014_790.mp4,1,Face2Face
C:\Users\susov\Downloads\archive\FaceForensics++_C23\original\074.mp4,0,original
C:\Users\susov\Downloads\archive\FaceForensics++_C23\original\046.mp4,0,original
C:\Users\susov\Downloads\archive\FaceForensics++_C23\Face2Face\004_982.mp4,1,Face2Face
C:\Users\susov\Downloads\archive\FaceForensics++_C23\NeuralTextures\147_055.mp4,1,NeuralTextures
C:\Users\susov\Downloads\archive\FaceForensics++_C23\original\747.mp4,0,original
C:\Users\susov\Downloads\archive\FaceForensics++_C23\DeepFakeDetection\02_09__podium_speech_happy__9TDCEK1Q.mp4,1,DeepFakeDetection
